identifier,asset_type,instruction,eligible_for_bounty,eligible_for_submission,availability_requirement,confidentiality_requirement,integrity_requirement,max_severity,system_tags,created_at,updated_at
http://vdp.kahootz.com,URL,,FALSE,TRUE,,,,critical,,2026-01-27 11:06:56 UTC,2026-01-27 11:06:56 UTC
defenceshare.mod.uk,URL,"
Please use vdp.kahootz.com",FALSE,FALSE,,,,critical,"English, Apache Tomcat, MariaDB",2026-01-27 11:09:14 UTC,2026-01-27 11:09:54 UTC
https://www.mactag.com/*,WILDCARD,,FALSE,TRUE,,,,critical,,2026-02-18 14:21:01 UTC,2026-02-18 14:21:01 UTC
212.20.255.54,IP_ADDRESS,,FALSE,TRUE,,,,critical,,2026-02-18 14:21:37 UTC,2026-02-18 14:21:37 UTC
autodiscover.thorntontomasetti.com,URL,,FALSE,TRUE,not_defined,not_defined,not_defined,critical,,2026-02-18 14:33:13 UTC,2026-02-18 14:33:13 UTC
ballastcalc.thorntontomasetti.com,URL,,FALSE,TRUE,,,,critical,,2026-02-18 14:33:13 UTC,2026-02-18 14:33:13 UTC
careers.thorntontomasetti.com,URL,,FALSE,TRUE,not_defined,not_defined,not_defined,critical,,2026-02-18 14:33:13 UTC,2026-02-18 14:33:13 UTC
corporateresponsibility.thorntontomasetti.com,URL,,FALSE,TRUE,,,,critical,,2026-02-18 14:33:13 UTC,2026-02-18 14:33:13 UTC
crm.thorntontomasetti.com,URL,,FALSE,TRUE,,,,critical,,2026-02-18 14:33:13 UTC,2026-02-18 14:33:13 UTC
em5260.careeralerts.thorntontomasetti.com,URL,,FALSE,TRUE,not_defined,not_defined,not_defined,critical,,2026-02-18 14:33:13 UTC,2026-02-18 14:33:13 UTC
em793.jobalerts.thorntontomasetti.com,URL,,FALSE,TRUE,not_defined,not_defined,not_defined,critical,,2026-02-18 14:33:13 UTC,2026-02-18 14:33:13 UTC
ember.thorntontomasetti.com,URL,,FALSE,TRUE,,,,critical,,2026-02-18 14:33:13 UTC,2026-02-18 14:33:13 UTC
encounter.thorntontomasetti.com,URL,,FALSE,TRUE,not_defined,not_defined,not_defined,critical,,2026-02-18 14:33:13 UTC,2026-02-18 14:33:13 UTC
enterpriseregistration.thorntontomasetti.com,URL,,FALSE,TRUE,not_defined,not_defined,not_defined,critical,,2026-02-18 14:33:13 UTC,2026-02-18 14:33:13 UTC
